genes	logFC	logCPM	F	PValue	FDR
ENSGMOG00000015675	0.0496719106059684	2.25325243514483	0.144257580600845	0.711891798136705	0.924735140313878
ENSGMOG00000020300	-0.0473933502328959	4.92163744345106	0.143980981395946	0.712153988689963	0.924966785317375
ENSGMOG00000019019	0.0434462048537149	2.60238436159387	0.143945216991589	0.712187911297785	0.924966785317375
ENSGMOG00000008032	0.0342492009122217	3.36278412303777	0.143622074403359	0.712494633743587	0.925288632179327
ENSGMOG00000006595	0.0337062590192253	6.78030905977001	0.143559319834777	0.71255424573127	0.925289539764806
ENSGMOG00000009069	0.0615437318461851	1.63207934851927	0.143265056614081	0.712833974027671	0.92538108999713
ENSGMOG00000010367	-0.0435515271173037	3.34347372043639	0.143211241090204	0.712885167258439	0.92538108999713
ENSGMOG00000004665	-0.0322643749499283	4.18956209664353	0.143085610005236	0.713004719919968	0.92538108999713
ENSGMOG00000018372	0.0547509007930491	1.80041400637347	0.143026476238021	0.713061013593095	0.92538108999713
ENSGMOG00000008324	-0.0340772353293998	7.21120421095037	0.142995735359784	0.713090283348876	0.92538108999713
ENSGMOG00000012003	0.0413367237193492	8.71349100253629	0.14283066370897	0.713247517572011	0.92538108999713
ENSGMOG00000011853	-0.027382991380712	5.25292698521791	0.142799515119834	0.713277199024024	0.92538108999713
ENSGMOG00000001329	0.0323606712187389	5.25156989734686	0.142778558318686	0.713297170837349	0.92538108999713
ENSGMOG00000009315	0.0335004951577883	4.79989846002803	0.142682429903591	0.713388802825554	0.92538108999713
ENSGMOG00000011841	-0.0812429008301453	1.04061345212078	0.142602034807175	0.713465464793861	0.92538108999713
ENSGMOG00000019802	-0.0663063095754386	1.67661168916768	0.142520313936284	0.713543416547035	0.92538108999713
ENSGMOG00000017058	-0.032362709240536	4.64618455992201	0.14239252633767	0.713665362073647	0.92538108999713
ENSGMOG00000018655	-0.0312487543575065	7.41825906397442	0.14229357134825	0.713759836530185	0.92538108999713
ENSGMOG00000010386	-0.0347212097435845	3.44074431204882	0.142275323506883	0.713777262276788	0.92538108999713
ENSGMOG00000006138	0.0328850320070516	4.92858922501143	0.142177403938421	0.713870792445794	0.92538108999713
ENSGMOG00000017713	0.0318719681332142	4.59346530045449	0.142109503173459	0.713935671276484	0.92538108999713
ENSGMOG00000012052	-0.0261258907306478	5.53353342385796	0.142055936378378	0.713986866694589	0.92538108999713
ENSGMOG00000015420	-0.0264051059494391	5.07812008062297	0.141981596474626	0.714057934062746	0.92538108999713
ENSGMOG00000013951	0.0242067936836513	7.70520042342049	0.141956478901079	0.714081950780938	0.92538108999713
ENSGMOG00000009711	0.0350201699119228	5.87339780050259	0.141883978877203	0.714151287019947	0.92538108999713
ENSGMOG00000011477	0.0439691493915454	5.56137532681605	0.14183166608147	0.714201329663653	0.92538108999713
ENSGMOG00000017616	-0.0545105577032476	3.46333966797621	0.141822065978318	0.714210514319435	0.92538108999713
ENSGMOG00000004511	0.0336310102259279	3.0510901634156	0.141802215339875	0.714229507052961	0.92538108999713
ENSGMOG00000014906	0.0709649853613034	1.57029930412152	0.14179133421877	0.714239918564474	0.92538108999713
ENSGMOG00000012992	-0.0425307180484415	3.16759562939695	0.141722422799976	0.714305866594111	0.92538108999713
ENSGMOG00000012946	0.0303771124915919	4.4668962894934	0.141637540006835	0.714387124609103	0.92538108999713
ENSGMOG00000010266	0.0249598478009476	7.74195806507282	0.141588976776725	0.714433626658245	0.92538108999713
ENSGMOG00000010178	-0.029326019254264	4.97573265115535	0.141547349791628	0.714473494180787	0.92538108999713
ENSGMOG00000003546	0.0279409624175572	5.4567942883219	0.1414903294642	0.714528115384908	0.92538108999713
ENSGMOG00000017658	-0.097334526143998	0.00414435044182586	0.141467068252798	0.714550401528891	0.92538108999713
ENSGMOG00000008813	0.05621976332034	2.60184236876264	0.141269189270092	0.71474007128418	0.92538108999713
ENSGMOG00000018674	-0.0926240850483539	-0.183446286499736	0.141241224439813	0.71476688831292	0.92538108999713
ENSGMOG00000016457	-0.0342936926690647	4.27578932505558	0.14118617169717	0.714819690390924	0.92538108999713
ENSGMOG00000017386	0.0617529110147106	1.10847246992205	0.14117213839752	0.71483315187992	0.92538108999713
ENSGMOG00000012158	-0.0366479519214201	4.63883088081556	0.141152861852267	0.714851644227176	0.92538108999713
ENSGMOG00000001682	0.0298488101050477	5.51906116510056	0.14099871603164	0.714999571562266	0.92538108999713
ENSGMOG00000001361	-0.0431749788135463	3.45033992597775	0.140930020258923	0.715065526065949	0.92538108999713
ENSGMOG00000012628	-0.0415741136412896	3.15364140436793	0.140924516429677	0.715070811069411	0.92538108999713
ENSGMOG00000018842	-0.0501843452806526	2.44919354903643	0.140866408346022	0.715126616103209	0.92538108999713
ENSGMOG00000015169	0.0346963801573412	6.73953706460139	0.140864929663444	0.71512803635291	0.92538108999713
ENSGMOG00000016911	0.0327073136820142	3.18429924808899	0.1408334537919	0.715158270435349	0.92538108999713
ENSGMOG00000000901	-0.0291513431501238	5.12229086101855	0.140782309530087	0.715207405254183	0.92538108999713
ENSGMOG00000011352	-0.096731585495068	-0.0905982674917554	0.140688398263786	0.715297653565527	0.92538108999713
ENSGMOG00000005288	-0.033474287297056	3.35477219458962	0.140549024234186	0.715431655398548	0.92538108999713
ENSGMOG00000003199	0.0258096188789289	4.89586784754542	0.140547767224839	0.715432864304528	0.92538108999713
ENSGMOG00000006286	-0.0290508205401513	4.98611280171374	0.140526287236674	0.715453523256993	0.92538108999713
ENSGMOG00000001081	0.0296537480023401	7.42563422631822	0.140519204453377	0.715460335711889	0.92538108999713
ENSGMOG00000018429	-0.0256447675750875	5.36943974188017	0.140508641221507	0.715470496144704	0.92538108999713
ENSGMOG00000007735	0.0282793157768008	5.13267061550601	0.140455077645568	0.715522023999113	0.92538108999713
