genes	logFC	logCPM	F	PValue	FDR
ENSGMOG00000014729	-0.426949136666951	3.40825403177286	4.86199694050913	0.0440927880815404	0.114098224038965
ENSGMOG00000014072	-0.365443891207687	5.90321844727054	4.86099549886767	0.0441117380939971	0.114129147829677
ENSGMOG00000003653	-0.353750374824519	3.52244959323947	4.86052614595651	0.0441206228194317	0.114134024285393
ENSGMOG00000009412	-0.249108838779108	3.49217241441733	4.85965168770865	0.0441371816766541	0.114158747975547
ENSGMOG00000016057	-0.749275819175193	-0.198168760001654	4.85879616663334	0.0441533889879498	0.114182554710313
ENSGMOG00000016799	-0.818864057371319	-0.32412472883743	4.85794922041277	0.0441694407266533	0.114184693775513
ENSGMOG00000003870	1.05463812782999	-0.0371698489046121	4.85788055312045	0.0441707424425176	0.114184693775513
ENSGMOG00000005505	-0.365024278012728	2.33892778974423	4.85743705328459	0.044179150887675	0.114184693775513
ENSGMOG00000002292	-0.205368914068249	5.02888687389264	4.85727475929078	0.0441822283366887	0.114184693775513
ENSGMOG00000011065	-0.712943374101308	0.224485272066892	4.85639722900018	0.0441988725836378	0.114209606573093
ENSGMOG00000002791	-0.302298822959251	4.01236719105433	4.85571843839296	0.0442117523477892	0.114224785617288
ENSGMOG00000017385	-0.232381282032243	5.83189872054511	4.8535346683856	0.0442532183166186	0.114298027320278
ENSGMOG00000020386	-0.711275095678198	0.176553933165153	4.85348714449742	0.0442541212188236	0.114298027320278
ENSGMOG00000014475	0.252258007830038	4.73989725390371	4.85248828703939	0.0442731034227657	0.114328943824548
ENSGMOG00000006143	-0.169971221747301	6.18861323868839	4.85124792538785	0.0442966884404038	0.114371734761803
ENSGMOG00000002872	-0.225571440653419	6.90028695412997	4.85051131019199	0.0443107018769633	0.114387079985077
ENSGMOG00000019285	-0.561223745401809	1.7007388006028	4.85019806619532	0.044316662635126	0.114387079985077
ENSGMOG00000001340	0.225288866268308	5.06176544825123	4.84931446151404	0.0443334819229448	0.114412380935995
ENSGMOG00000011829	0.318704071428562	5.21771404117909	4.84849324327578	0.044349120404068	0.114434627027746
ENSGMOG00000013554	-0.725531936840248	0.831599616187082	4.84794986895978	0.0443594714513147	0.114443225002166
ENSGMOG00000018672	0.343743591496637	3.59850555468978	4.84674511193588	0.04438243165876	0.114484345545971
ENSGMOG00000003944	-0.194584667945776	6.35448413528911	4.84451941549868	0.0444248855433156	0.114575729007238
ENSGMOG00000008617	-0.569261112181725	1.14194436163239	4.84370108017221	0.0444405067907759	0.114597890751795
ENSGMOG00000018971	0.220796137723939	4.32576843237254	4.84166429667304	0.0444794150326985	0.114676757033902
ENSGMOG00000014228	-0.212748185717266	4.63684030350604	4.84136388010945	0.0444851572057301	0.114676757033902
ENSGMOG00000005207	-0.23541695665877	6.62183222971676	4.83986499270041	0.0445138199837364	0.114732506297
ENSGMOG00000005317	-0.20790793176259	6.92266855652231	4.83869684611446	0.0445361731179906	0.114771977665376
ENSGMOG00000019099	0.232907504850819	7.97162254081461	4.83767565815529	0.0445557248997384	0.114787193984118
ENSGMOG00000009376	-0.440360830057942	1.4479762623935	4.83761370242658	0.0445569114350116	0.114787193984118
ENSGMOG00000007864	-0.203466245306473	6.01054101117636	4.83727265250816	0.0445634436615709	0.114787193984118
ENSGMOG00000014076	-0.184939204139921	6.75425565286187	4.83691799735278	0.0445702376641185	0.114787193984118
ENSGMOG00000006036	0.259185481028908	5.58345357070895	4.83347918122801	0.0446361768600514	0.114938860344779
ENSGMOG00000002114	-0.481650503982753	1.93827435848821	4.83066951650578	0.0446901370189828	0.115053498383882
