genes	logFC.oilhigh	logFC.oillow	logCPM	F	PValue	FDR
ENSGMOG00000017914	0.104458059056732	0.038374968502151	2.72799506723677	0.384298792624891	0.688641002826485	0.750914925313307
ENSGMOG00000005836	-0.0904921474101138	-0.0334706209596872	3.3928236006968	0.384247225179353	0.688674473860185	0.750914925313307
ENSGMOG00000009538	0.149208923521501	0.102470737051938	2.2700574741424	0.384220310524944	0.688691944182844	0.750914925313307
ENSGMOG00000005837	0.0476249396680973	0.0145885546250151	7.20747397179178	0.384215935241102	0.68869478423144	0.750914925313307
ENSGMOG00000019268	-0.0664525918318452	-0.0253392425124438	5.81198543175758	0.38399355486719	0.688839151842947	0.751021127505322
ENSGMOG00000005175	-0.0170097787083612	-0.0741853774358866	6.50649904632579	0.383491345348833	0.689165311395919	0.751325504126816
ENSGMOG00000018473	-0.0684349431003405	-0.076268968134719	4.97693301497882	0.382970048515785	0.68950405647951	0.751615346954624
ENSGMOG00000000297	0.0900653447766532	0.0343481164605757	3.07186485264842	0.382909066633878	0.689543695858364	0.751615346954624
ENSGMOG00000009606	-0.116538160089916	-0.0507835054729739	1.56268695151252	0.382865246278314	0.689572181550328	0.751615346954624
ENSGMOG00000005411	0.285065004856676	0.189955414038055	-0.291731654309358	0.382630491552742	0.689724808526016	0.751730467089662
ENSGMOG00000014190	0.365285979509436	0.330812353734313	-0.228305755936497	0.382336290702919	0.689916139970596	0.751838776224961
ENSGMOG00000019494	-0.163577464576973	-0.0529335845353154	0.541464505131191	0.382307126961424	0.689935109753993	0.751838776224961
ENSGMOG00000011592	-0.0312585395466319	-0.216484413391523	1.09732881742759	0.382260818013775	0.689965233012401	0.751838776224961
ENSGMOG00000008292	-0.133374628327944	-0.0738298495532397	4.25129397202674	0.38186047680035	0.690225712360051	0.752071365927336
ENSGMOG00000010776	-0.115389052257357	-0.125642246877078	1.96391979945413	0.381395132145196	0.690528628975252	0.752350160519401
ENSGMOG00000019109	0.0158667193824907	-0.0530350409025794	7.60422072189882	0.381094809601901	0.690724206050944	0.752511975675204
ENSGMOG00000014244	0.0419043093651688	-0.00340806592403615	6.87627982726681	0.380748963957543	0.690949508356686	0.75270615083669
ENSGMOG00000006229	0.0681057754127347	-0.121088149893904	0.741311697481408	0.380501552929252	0.691110737349697	0.75283050415252
ENSGMOG00000014772	-0.0770657396802686	-0.0648997591869544	4.08561061492672	0.380337127655415	0.691217911581876	0.752895962407587
ENSGMOG00000018479	-0.135180886771387	-0.0671316152955348	4.08416774942164	0.37976927520416	0.691588192286577	0.753211140228387
ENSGMOG00000017823	-0.0760603606574191	-0.172512239304361	0.843488111498805	0.379748913154782	0.691601474077506	0.753211140228387
ENSGMOG00000017634	-0.127809941694985	-0.0415787767557858	2.43435059297517	0.379433159473793	0.691807472237752	0.753384179280434
ENSGMOG00000016956	-0.0661998526013688	-0.0299332414902318	5.30705729886886	0.379127789070296	0.692006763962988	0.753549891898681
ENSGMOG00000018042	-0.127054287094566	-0.077466318752655	2.35001340269305	0.378847117494624	0.692189995338287	0.753698094474639
ENSGMOG00000005433	-0.0479689867651132	0.0435989895436684	2.7514184815356	0.378715932488341	0.692275656381068	0.753740043656952
ENSGMOG00000015689	0.168395355440095	0.12119723929481	1.51571287998071	0.378160282567056	0.692638620287012	0.754083890046951
ENSGMOG00000011433	0.0104231659523344	-0.0984406307790365	1.42243936464521	0.377952113619727	0.692774658031623	0.75418064923301
ENSGMOG00000008415	0.0538709665827856	0.0315729538978482	6.59792445476669	0.377142428123171	0.693304079401319	0.75470561835987
ENSGMOG00000005950	0.016330802433822	-0.112821663427612	1.46475915540814	0.377067187257332	0.693353300233475	0.754707822750902
ENSGMOG00000008991	-0.0327721667029793	0.0790135947163211	2.22375848424894	0.37683509350709	0.693505156100976	0.754821736401491
ENSGMOG00000006725	0.233484280700176	0.0609746877162656	-0.0560150064964415	0.376533113215151	0.693702795501601	0.754985462660186
ENSGMOG00000003568	0.155632288672967	0.0891461047604619	1.10375353591768	0.375963073226983	0.694076051928674	0.75534028490482
