genes	logFC.uvyes.oilhigh	logFC.uvyes.oillow	logCPM	F	PValue	FDR
ENSGMOG00000008499	0.0507126057406456	0.00762334384915116	3.29847161346966	0.0576511851651373	0.944147990149624	0.965528259670792
ENSGMOG00000016553	0.0117610110693722	0.0391916549759657	5.91863094197948	0.0574030648133654	0.944380833966827	0.965706132569284
ENSGMOG00000015516	0.0384851768867182	0.00287441862581879	3.81457427953493	0.0572830785540334	0.944493455609999	0.965761054005409
ENSGMOG00000013241	-0.00862131643732982	0.070077709305948	0.563571891382744	0.0570486382125126	0.944713549226429	0.965925853706035
ENSGMOG00000012356	0.0549122351893733	0.019138163635342	2.90693468335473	0.0564118891133631	0.945311618905215	0.966471282036441
ENSGMOG00000019224	-0.123761405268821	-0.0108631470236292	0.444228471327217	0.0563551706878022	0.945364912307346	0.966471282036441
ENSGMOG00000005247	0.00837367664814419	0.0609328789705213	1.92047115425961	0.0560177333990727	0.94568204179018	0.966735202735496
ENSGMOG00000004982	-0.00656886790779756	-0.03159783651703	5.04235143239262	0.0555601875329114	0.946112239720243	0.967114668936456
ENSGMOG00000004401	0.0513769228087666	0.0193003108088957	1.89863473044687	0.0554757484884058	0.946191655465191	0.96713554109246
ENSGMOG00000011604	-0.108485219296345	0.171898896511458	1.45259549944339	0.0553154812829411	0.946342408650403	0.967184936242736
ENSGMOG00000004961	-0.00249860419018534	0.064612371234942	1.20018273604646	0.0552989281129475	0.946357980682821	0.967184936242736
ENSGMOG00000011451	-0.00491627242615858	-0.0244783274520943	5.96908763258221	0.0549911156065076	0.946647600297055	0.967409039896621
ENSGMOG00000015107	-0.0333726059937194	-0.0708164242665424	1.75571452454981	0.0548794004033622	0.946752736995127	0.967409039896621
ENSGMOG00000014334	-0.0204631620072512	-0.0387548130108835	5.02568306473635	0.0548777405355822	0.94675429921683	0.967409039896621
ENSGMOG00000014618	-0.1472377126517	-0.138116052227952	3.93405446064739	0.0547910389216251	0.946835904352217	0.967432122914853
ENSGMOG00000011800	-0.0546933014798904	-0.0208579704035513	2.33285019347842	0.0544245081646357	0.947180975895656	0.967724383786692
ENSGMOG00000016912	0.0295938304832242	-0.00976282866400332	6.50647976242909	0.0542385910385703	0.947356061429629	0.967842946218117
ENSGMOG00000001179	0.0397613245211847	0.0183207517044226	4.20369555673534	0.0541413820330485	0.947447621284055	0.967876167240576
ENSGMOG00000006660	-0.0403508223063367	0.0188185281132275	4.1715969235826	0.0539626830807274	0.947615961004186	0.96797057376225
ENSGMOG00000005399	0.0331316618254929	0.00147206516301479	4.25761837790281	0.0538552521417926	0.94771718009041	0.96797057376225
ENSGMOG00000000958	-0.142017251914045	-0.103214905833123	2.21888986562083	0.0537995010528842	0.947769712271315	0.96797057376225
ENSGMOG00000014031	0.0655386972081537	-0.00147175756129114	2.50282087385594	0.0537925880044041	0.947776226405043	0.96797057376225
ENSGMOG00000002554	0.0238198402181341	0.0344862722942989	4.75059660559399	0.0535888648401081	0.947968216078696	0.968106339781838
ENSGMOG00000006881	0.0124473007657816	-0.0269207217868232	5.3405892875751	0.0532719318269868	0.948266980923334	0.968351125538916
ENSGMOG00000017215	-0.0250317746222884	-0.0441293118295391	4.1993545728835	0.0531445313230131	0.948387107598469	0.968413470466034
ENSGMOG00000003373	-0.0136231601192995	0.00827013465642655	8.79748122651845	0.0528283181282457	0.948685339728569	0.968657662670223
ENSGMOG00000007717	0.0359634245306129	0.012719608480684	5.76639928333174	0.0526223819005347	0.948879621527399	0.968795692308087
ENSGMOG00000010186	0.0290029026546169	0.0106955454299772	7.79828794995065	0.0523571338046733	0.949129923556224	0.968990897232184
ENSGMOG00000005365	-0.0302013425488948	-0.0268521303082619	6.73634670062986	0.0520941141251515	0.949378194977994	0.969055116156052
ENSGMOG00000006405	-0.00683106746906316	0.0334779491864185	3.58093311214255	0.0520109227197608	0.949456736584883	0.969055116156052
ENSGMOG00000010181	0.0369997299738583	0.0417113356196374	5.02033101798272	0.0520096803220026	0.949457909596147	0.969055116156052
ENSGMOG00000006497	0.0596014958433966	0.0446758512204779	3.61305126228187	0.0519774055179344	0.949488382451994	0.969055116156052
ENSGMOG00000004554	0.011271576606908	0.024204003438286	6.17314120159385	0.0519773911644945	0.949488396004302	0.969055116156052
ENSGMOG00000007337	-0.0120470956395373	-0.0296579960845812	7.04338195849129	0.0519030031229577	0.949558634984212	0.969066469731444
ENSGMOG00000018425	0.015747537448619	-0.0870044948782574	0.304138480565468	0.0517199576481005	0.949731495444283	0.969182545120651
ENSGMOG00000009531	-0.0341364323440876	-0.00861077530326181	3.70702934806892	0.0516035498749824	0.949841444195142	0.969234409878056
ENSGMOG00000000434	0.029002012313598	0.0375273729849071	6.85649430231465	0.0513990703698876	0.950034612062742	0.969371181099497
ENSGMOG00000019274	0.0687186385760771	0.0672910218095364	2.64373845778889	0.0511923860931232	0.950229906972614	0.969510105495865
ENSGMOG00000002135	0.0404865359056677	-0.0265965055064765	2.10064739163277	0.051058200156622	0.950356722388827	0.969579148003487
ENSGMOG00000006959	-0.031717967832209	-0.0487385516930702	3.23734396530737	0.0508891463697078	0.950516517142461	0.969681826219202
