genes	logFC.oilhigh	logFC.oillow	logCPM	F	PValue	FDR
ENSGMOG00000008283	0.29735118776338	0.0263901623307813	2.6193025552355	5.06064717484897	0.0239657254993593	0.11602049398925
ENSGMOG00000018620	0.472966905763429	0.394860963928144	6.17213907433503	5.06056876198947	0.0239667761536864	0.11602049398925
ENSGMOG00000005769	-0.285592351163494	-0.322996507931772	4.860638275039	5.0566921070537	0.0240187859157557	0.116237371816195
ENSGMOG00000017983	-0.370597407933546	-0.134380603963424	2.30646753145143	5.05116430193295	0.024093173546787	0.116562383270909
ENSGMOG00000003098	-1.03119928548447	-0.361685654437275	0.783702349209256	5.04637119277249	0.0241578899957713	0.11684042476959
ENSGMOG00000009522	0.710217140887354	0.233356556655672	0.369920382885832	5.04542672244801	0.0241706658964518	0.116867162692739
ENSGMOG00000016711	0.704293273137294	0.546615368816856	0.0585819052723938	5.04340790454538	0.0241980007505177	0.116930829670033
ENSGMOG00000006242	-0.233334077588982	-0.207429176511566	3.47134871313603	5.04286322078849	0.0242053819042007	0.116930829670033
ENSGMOG00000018370	-0.502700011430491	-0.572244202554956	1.52399677418739	5.04284800149544	0.0242055881822369	0.116930829670033
ENSGMOG00000002993	-0.236150329631727	-0.255051101055341	4.04299249426884	5.04147959223247	0.0242241435253708	0.116985419091526
ENSGMOG00000016390	-0.440463279445949	-0.18361343607147	2.05004748751154	5.04009010979349	0.0242430014409106	0.117027069076026
ENSGMOG00000000725	0.247850978300843	0.184736093007198	4.16931908803319	5.03970192799212	0.0242482728371968	0.117027069076026
ENSGMOG00000003555	-0.508632297114439	-0.451386165257918	2.71197112793311	5.03924051200256	0.0242545404559429	0.117027069076026
ENSGMOG00000008129	0.197546703244323	0.0982147534196609	5.2886712252588	5.03840132816472	0.0242659442637803	0.117043220222952
ENSGMOG00000019415	0.540382433004165	0.220105926889481	1.22942947758221	5.03792610755219	0.0242724048636001	0.117043220222952
ENSGMOG00000009871	0.161983922683079	0.240000328162365	4.10226169530943	5.03728308349955	0.0242811499079555	0.117050386327588
ENSGMOG00000002881	-0.188098084404958	-0.112147942791592	6.43565770684901	5.03387526144251	0.0243275566861874	0.11723230122712
ENSGMOG00000007652	-0.0926393788736236	0.138415864079635	4.47100959662737	5.03344470956942	0.0243334271136231	0.11723230122712
