ID	sample_13	sample_14	sample_15
ENSGMOG00000000561	20110	17897	22981
ENSGMOG00000000562	0	0	0
ENSGMOG00000000563	12229	11036	11217
ENSGMOG00000000564	1385	1145	1231
ENSGMOG00000000565	606	462	537
ENSGMOG00000000566	955	787	891
ENSGMOG00000000567	25	68	43
ENSGMOG00000000568	80	55	55
ENSGMOG00000000569	8400	6074	6207
ENSGMOG00000000570	189	183	164
ENSGMOG00000000571	1286	1565	1335
ENSGMOG00000000572	1269	1207	1192
ENSGMOG00000000573	235	230	234
ENSGMOG00000000574	26	26	38
ENSGMOG00000000575	803	616	663
ENSGMOG00000000576	446	383	353
ENSGMOG00000000577	1178	1094	1063
ENSGMOG00000000578	2447	1804	1850
ENSGMOG00000000579	0	6	15
ENSGMOG00000000580	951	748	807
ENSGMOG00000000581	1840	1372	1585
ENSGMOG00000000582	2	7	20
ENSGMOG00000000583	13540	12418	13590
ENSGMOG00000000584	1663	1143	1433
ENSGMOG00000000585	110	78	124
ENSGMOG00000000586	42	42	50
ENSGMOG00000000587	6226	4868	5395
ENSGMOG00000000588	14	10	0
ENSGMOG00000000589	3391	3072	3518
ENSGMOG00000000590	2	0	3
ENSGMOG00000000591	1116	1005	1076
ENSGMOG00000000592	357	274	279
ENSGMOG00000000593	37	27	22
ENSGMOG00000000594	35	37	30
ENSGMOG00000000595	7127	6457	6427
ENSGMOG00000000596	890	562	610
ENSGMOG00000000597	2109	1976	2352
ENSGMOG00000000598	1402	1180	1136
ENSGMOG00000000599	32	41	52
ENSGMOG00000000600	5314	4919	5069
ENSGMOG00000000601	12	20	11
ENSGMOG00000000602	791	614	604
ENSGMOG00000000603	2940	2377	2467
ENSGMOG00000000604	23	5	15
ENSGMOG00000000605	164	157	169
ENSGMOG00000000606	1161	881	963
ENSGMOG00000000607	4	30	14
ENSGMOG00000000608	14226	11778	11762
ENSGMOG00000000609	6031	4535	4747
ENSGMOG00000000610	864	670	702
ENSGMOG00000000611	13	2	5
ENSGMOG00000000612	7195	5621	5590
ENSGMOG00000000613	9	24	21
ENSGMOG00000000614	1932	1963	2073
ENSGMOG00000000615	3702	3718	4071
ENSGMOG00000000616	57	66	63
ENSGMOG00000000617	1605	1252	1478
ENSGMOG00000000618	12	19	11
ENSGMOG00000000619	904	810	859
ENSGMOG00000000620	25	32	45
ENSGMOG00000000621	141	104	119
ENSGMOG00000000622	529	466	486
ENSGMOG00000000623	13654	10212	10638
ENSGMOG00000000624	9294	7509	7891
ENSGMOG00000000625	269	173	144
ENSGMOG00000000626	2185	2414	2480
ENSGMOG00000000627	1220	928	1031
ENSGMOG00000000628	159	123	138
ENSGMOG00000000629	2	7	6
ENSGMOG00000000630	102	95	97
ENSGMOG00000000631	600	504	508
ENSGMOG00000000632	282	209	234
ENSGMOG00000000633	46	27	32
ENSGMOG00000000634	39	27	42
ENSGMOG00000000635	1019	763	783
ENSGMOG00000000636	0	0	0
ENSGMOG00000000637	10744	8046	8093
ENSGMOG00000000638	460	387	430
ENSGMOG00000000639	98	117	126
ENSGMOG00000000640	0	0	0
ENSGMOG00000000641	464	351	323
ENSGMOG00000000642	2092	1624	1773
ENSGMOG00000000643	604	523	579
ENSGMOG00000000644	5712	3821	4655
ENSGMOG00000000645	6	16	0
ENSGMOG00000000646	389	303	309
ENSGMOG00000000647	324	227	198
ENSGMOG00000000648	1668	1345	1403
ENSGMOG00000000649	1743	1432	1623
ENSGMOG00000000650	476	375	402
ENSGMOG00000000651	4	6	2
ENSGMOG00000000652	2478	1965	2185
ENSGMOG00000000653	565	547	592
ENSGMOG00000000654	304	291	271
ENSGMOG00000000655	0	0	2
ENSGMOG00000000656	725	631	672
ENSGMOG00000000657	108	3	3
ENSGMOG00000000658	1421	1322	1465
ENSGMOG00000000659	1846	1595	1611
ENSGMOG00000000660	2267	1855	1932
ENSGMOG00000000661	118	242	198
ENSGMOG00000000662	537	489	475
ENSGMOG00000000663	2068	1757	1961
ENSGMOG00000000664	11267	8900	8695
ENSGMOG00000000665	42	46	39
ENSGMOG00000000666	2852	2602	2557
ENSGMOG00000000667	6	2	2
ENSGMOG00000000668	16	13	19
ENSGMOG00000000669	234	204	263
ENSGMOG00000000670	4896	3616	3856
ENSGMOG00000000671	60	32	98
ENSGMOG00000000672	140	115	177
ENSGMOG00000000673	1444	1313	1310
ENSGMOG00000000674	26	37	46
ENSGMOG00000000675	10530	7799	8220
ENSGMOG00000000676	95	87	76
ENSGMOG00000000677	27	24	23
ENSGMOG00000000678	149	105	124
ENSGMOG00000000679	11	9	13
ENSGMOG00000000680	204	172	152
ENSGMOG00000000681	347	281	318
ENSGMOG00000000682	3468	3085	3040
ENSGMOG00000000683	39	29	32
ENSGMOG00000000684	168	194	136
ENSGMOG00000000685	853	723	754
ENSGMOG00000000686	0	2	3
ENSGMOG00000000687	793	387	568
ENSGMOG00000000688	7080	5221	5723
ENSGMOG00000000689	495	382	431
ENSGMOG00000000690	281	175	180
ENSGMOG00000000691	469	354	379
ENSGMOG00000000692	40	49	66
ENSGMOG00000000693	641	552	477
ENSGMOG00000000694	271	236	232
ENSGMOG00000000695	303	287	231
ENSGMOG00000000696	1	0	3
ENSGMOG00000000697	23	13	15
ENSGMOG00000000698	4	4	1
ENSGMOG00000000699	1721	1353	1404
ENSGMOG00000000700	4	2	2
ENSGMOG00000000701	860	818	722
ENSGMOG00000000702	124	112	124
ENSGMOG00000000703	24	27	21
ENSGMOG00000000704	15	29	56
ENSGMOG00000000705	6102	5329	5116
ENSGMOG00000000706	2439	1944	2087
ENSGMOG00000000707	151	157	142
ENSGMOG00000000708	50	52	64
ENSGMOG00000000709	24	18	33
ENSGMOG00000000710	2087	1999	2106
ENSGMOG00000000711	156	163	144
ENSGMOG00000000712	98	85	97
ENSGMOG00000000713	938	861	836
ENSGMOG00000000714	6	1	5
ENSGMOG00000000715	1275	1265	1302
ENSGMOG00000000716	95	79	107
ENSGMOG00000000717	1388	1176	1147
ENSGMOG00000000718	14879	11751	12397
ENSGMOG00000000719	3722	2776	3041
ENSGMOG00000000720	5	15	12
ENSGMOG00000000721	121	122	161
ENSGMOG00000000722	177	160	189
ENSGMOG00000000723	137	98	86
ENSGMOG00000000724	3307	2591	2503
ENSGMOG00000000725	1009	955	956
ENSGMOG00000000726	78	43	61
ENSGMOG00000000727	639	442	463
ENSGMOG00000000728	177	135	163
ENSGMOG00000000729	16	13	11
