ID	sample_4	sample_5	sample_6
ENSGMOG00000000238	355	818	357
ENSGMOG00000000239	767	1517	641
ENSGMOG00000000240	2018	4381	1759
ENSGMOG00000000241	1184	2989	1235
ENSGMOG00000000242	1465	2803	1077
ENSGMOG00000000243	13510	33119	12506
ENSGMOG00000000244	1291	2428	985
ENSGMOG00000000245	113	237	90
ENSGMOG00000000246	4883	13058	4785
ENSGMOG00000000247	1679	4168	1445
ENSGMOG00000000248	4079	10378	3785
ENSGMOG00000000249	1600	3272	1137
ENSGMOG00000000250	7150	19680	7125
ENSGMOG00000000251	6674	12960	5117
ENSGMOG00000000252	475	980	367
ENSGMOG00000000253	985	2202	795
ENSGMOG00000000254	1339	2618	993
ENSGMOG00000000255	999	2393	1019
ENSGMOG00000000256	0	3	0
ENSGMOG00000000257	662	1703	638
ENSGMOG00000000258	2026	3463	1424
ENSGMOG00000000259	92	172	80
ENSGMOG00000000260	8550	15863	6509
ENSGMOG00000000261	204	355	137
ENSGMOG00000000262	1048	1913	756
ENSGMOG00000000263	44	152	91
ENSGMOG00000000264	3535	7268	2839
ENSGMOG00000000265	19	46	65
ENSGMOG00000000266	10163	22806	8722
ENSGMOG00000000267	3662	7091	3328
ENSGMOG00000000268	3442	6643	2721
ENSGMOG00000000269	52	116	62
ENSGMOG00000000270	222	548	207
ENSGMOG00000000271	688	1381	582
ENSGMOG00000000272	0	4	1
ENSGMOG00000000273	6673	11126	4776
ENSGMOG00000000274	1171	2757	1057
ENSGMOG00000000275	44	80	48
ENSGMOG00000000276	102	134	97
ENSGMOG00000000277	1111	2056	736
ENSGMOG00000000278	10506	20690	7784
ENSGMOG00000000279	11	12	13
ENSGMOG00000000280	16	20	11
ENSGMOG00000000281	12	4	10
ENSGMOG00000000282	41	71	33
ENSGMOG00000000283	0	0	0
ENSGMOG00000000284	0	3	0
ENSGMOG00000000285	329	652	291
ENSGMOG00000000286	98	278	105
ENSGMOG00000000287	11	29	7
ENSGMOG00000000288	201	434	168
ENSGMOG00000000289	110	191	90
ENSGMOG00000000290	14	16	5
ENSGMOG00000000291	4504	10681	3951
ENSGMOG00000000292	211	444	177
ENSGMOG00000000293	19	53	24
ENSGMOG00000000294	70	125	58
ENSGMOG00000000295	836	1449	637
ENSGMOG00000000296	118	266	100
ENSGMOG00000000297	440	889	311
ENSGMOG00000000298	651	1200	518
ENSGMOG00000000299	0	1	1
ENSGMOG00000000300	0	0	0
ENSGMOG00000000301	8831	20099	7504
ENSGMOG00000000302	126	297	116
ENSGMOG00000000303	592	1065	391
ENSGMOG00000000304	1	4	2
ENSGMOG00000000305	0	0	0
ENSGMOG00000000306	0	0	0
ENSGMOG00000000307	0	0	0
ENSGMOG00000000308	1299	2880	1189
ENSGMOG00000000309	328	689	252
ENSGMOG00000000310	2286	5085	2087
ENSGMOG00000000311	0	1	0
ENSGMOG00000000312	2079	4794	1850
ENSGMOG00000000313	2	1	0
ENSGMOG00000000314	9	13	13
ENSGMOG00000000315	22	25	6
ENSGMOG00000000316	1027	2548	854
ENSGMOG00000000317	817	1492	598
ENSGMOG00000000318	1863	4741	1984
ENSGMOG00000000319	56	144	41
ENSGMOG00000000320	1283	1718	680
ENSGMOG00000000321	4372	9735	3836
ENSGMOG00000000322	44	84	31
ENSGMOG00000000323	1085	2118	877
ENSGMOG00000000324	532	1026	407
ENSGMOG00000000325	1402	3514	1253
ENSGMOG00000000326	25929	46972	18676
ENSGMOG00000000327	124	273	90
ENSGMOG00000000328	1068	2464	954
ENSGMOG00000000329	11	29	4
ENSGMOG00000000330	1229	2791	1138
ENSGMOG00000000331	4264	11488	4468
ENSGMOG00000000332	11	17	9
ENSGMOG00000000333	9	29	10
ENSGMOG00000000334	2	1	6
ENSGMOG00000000335	1458	2605	1008
ENSGMOG00000000336	106	235	97
ENSGMOG00000000337	572	1257	509
ENSGMOG00000000338	725	1525	588
ENSGMOG00000000339	9	10	2
ENSGMOG00000000340	595	1347	529
ENSGMOG00000000341	485	869	285
ENSGMOG00000000342	1400	3023	1134
ENSGMOG00000000343	7	19	5
ENSGMOG00000000344	5	26	7
ENSGMOG00000000345	0	0	1
ENSGMOG00000000346	31	71	35
ENSGMOG00000000347	866	1325	506
ENSGMOG00000000348	109	255	71
ENSGMOG00000000349	516	964	336
ENSGMOG00000000350	2440	5218	2256
ENSGMOG00000000351	8	25	15
ENSGMOG00000000352	840	1491	613
ENSGMOG00000000353	2470	4834	1824
ENSGMOG00000000354	1240	2452	1086
ENSGMOG00000000355	3569	8975	3755
ENSGMOG00000000356	317	595	206
ENSGMOG00000000357	2196	4206	1584
ENSGMOG00000000358	1501	2941	1231
ENSGMOG00000000359	54	111	49
ENSGMOG00000000360	1770	3263	1188
ENSGMOG00000000361	8	22	10
ENSGMOG00000000362	1132	2712	1034
ENSGMOG00000000363	5584	11372	4419
ENSGMOG00000000364	612	1287	483
ENSGMOG00000000365	3117	6461	2446
ENSGMOG00000000366	721	1689	680
ENSGMOG00000000367	0	0	0
ENSGMOG00000000368	727	1474	551
ENSGMOG00000000369	1055	1997	746
ENSGMOG00000000370	105	194	87
ENSGMOG00000000371	32	69	20
ENSGMOG00000000372	2257	5932	2302
ENSGMOG00000000373	10	15	10
ENSGMOG00000000374	1296	3186	1183
ENSGMOG00000000375	147	357	118
ENSGMOG00000000376	35	67	29
ENSGMOG00000000377	1131	2936	1007
ENSGMOG00000000378	0	14	3
ENSGMOG00000000379	6	10	1
ENSGMOG00000000380	201	465	212
ENSGMOG00000000381	1926	4903	1607
ENSGMOG00000000382	317	489	255
ENSGMOG00000000383	314	510	208
ENSGMOG00000000384	169	350	170
ENSGMOG00000000385	165	326	117
ENSGMOG00000000386	38	69	39
ENSGMOG00000000387	33	56	14
ENSGMOG00000000388	9	14	7
ENSGMOG00000000389	1947	4904	1792
ENSGMOG00000000390	57	7	57
ENSGMOG00000000391	5064	9968	3878
ENSGMOG00000000392	3644	6464	2477
ENSGMOG00000000393	57	66	21
ENSGMOG00000000394	1338	2905	1155
ENSGMOG00000000395	3300	5312	2257
ENSGMOG00000000396	279	652	222
ENSGMOG00000000397	1494	3070	1103
ENSGMOG00000000398	10	5	3
ENSGMOG00000000399	168	322	134
ENSGMOG00000000400	3157	6792	2751
ENSGMOG00000000401	96	194	62
ENSGMOG00000000402	1398	3236	1396
ENSGMOG00000000403	0	0	1
ENSGMOG00000000404	274	688	259
ENSGMOG00000000405	2402	5120	1850
ENSGMOG00000000406	3017	7768	2917
ENSGMOG00000000407	15683	40709	15734
ENSGMOG00000000408	741	1665	681
ENSGMOG00000000409	20	61	20
ENSGMOG00000000410	19	28	9
ENSGMOG00000000411	10	9	8
ENSGMOG00000000412	419	953	358
ENSGMOG00000000413	2305	5474	2027
ENSGMOG00000000414	1646	3371	1305
ENSGMOG00000000415	25	52	36
ENSGMOG00000000416	9715	25253	9857
ENSGMOG00000000417	708	1513	587
ENSGMOG00000000418	10	15	6
ENSGMOG00000000419	22	44	11
ENSGMOG00000000420	308	610	258
ENSGMOG00000000421	5635	15358	6020
ENSGMOG00000000422	2818	6175	2242
ENSGMOG00000000423	3	8	2
ENSGMOG00000000424	1835	3422	1336
ENSGMOG00000000425	16	69	25
ENSGMOG00000000426	87	155	58
ENSGMOG00000000427	2026	4003	1664
ENSGMOG00000000428	14	18	7
ENSGMOG00000000429	2628	4575	1931
ENSGMOG00000000430	45	104	44
ENSGMOG00000000431	1	4	0
ENSGMOG00000000432	369	834	318
ENSGMOG00000000433	135	261	143
ENSGMOG00000000434	6301	11946	4482
ENSGMOG00000000435	37	63	4
ENSGMOG00000000436	1423	3516	1290
ENSGMOG00000000437	3851	7565	2687
ENSGMOG00000000438	461	1109	406
ENSGMOG00000000439	1940	4871	1872
ENSGMOG00000000440	1113	2624	1101
ENSGMOG00000000441	21	73	24
ENSGMOG00000000442	9	21	6
ENSGMOG00000000443	140	331	130
ENSGMOG00000000444	706	1356	512
ENSGMOG00000000445	121	191	128
ENSGMOG00000000446	4477	9136	3797
ENSGMOG00000000447	4	9	8
ENSGMOG00000000448	14	41	26
ENSGMOG00000000449	1191	2604	963
ENSGMOG00000000450	2	4	2
ENSGMOG00000000451	134	308	109
ENSGMOG00000000452	744	1269	505
ENSGMOG00000000453	122	242	106
ENSGMOG00000000454	9	47	15
ENSGMOG00000000455	581	1740	615
ENSGMOG00000000456	55	86	37
ENSGMOG00000000457	445	816	319
ENSGMOG00000000458	3723	8982	3392
ENSGMOG00000000459	1429	3542	1348
ENSGMOG00000000460	976	2680	1105
ENSGMOG00000000461	0	3	0
ENSGMOG00000000462	99	251	124
ENSGMOG00000000463	454	914	361
ENSGMOG00000000464	212	459	209
ENSGMOG00000000465	2017	4683	1722
ENSGMOG00000000466	0	0	0
ENSGMOG00000000467	2600	4301	1588
ENSGMOG00000000468	0	0	1
ENSGMOG00000000469	210	416	169
ENSGMOG00000000470	442	1072	367
ENSGMOG00000000471	0	5	0
ENSGMOG00000000472	13	43	17
ENSGMOG00000000473	1873	3619	1363
ENSGMOG00000000474	456	1148	426
ENSGMOG00000000475	886	1515	645
ENSGMOG00000000476	7348	13752	5412
ENSGMOG00000000477	253	570	204
ENSGMOG00000000478	108	247	83
ENSGMOG00000000479	480	1256	567
ENSGMOG00000000480	412	1011	392
ENSGMOG00000000481	540	1235	506
ENSGMOG00000000482	576	1599	492
ENSGMOG00000000483	10097	24777	9563
ENSGMOG00000000484	138	352	92
ENSGMOG00000000485	35	120	46
ENSGMOG00000000486	156	329	127
ENSGMOG00000000487	623	1320	519
ENSGMOG00000000488	1590	3722	1419
ENSGMOG00000000489	22	44	6
ENSGMOG00000000490	0	0	0
ENSGMOG00000000491	20	62	24
ENSGMOG00000000492	1633	3004	1256
ENSGMOG00000000493	0	2	0
ENSGMOG00000000494	175	462	156
ENSGMOG00000000495	1932	4864	1651
ENSGMOG00000000496	8	19	4
ENSGMOG00000000497	31	62	30
ENSGMOG00000000498	42	84	36
ENSGMOG00000000499	6	5	0
ENSGMOG00000000500	1185	2775	1078
ENSGMOG00000000501	21170	43020	16656
ENSGMOG00000000502	18	46	12
ENSGMOG00000000503	10	17	4
ENSGMOG00000000504	2	4	11
ENSGMOG00000000505	952	1971	848
ENSGMOG00000000506	6093	12087	4417
ENSGMOG00000000507	9	18	8
ENSGMOG00000000508	6651	12686	5360
