ID	sample_1	sample_2	sample_3
ENSGMOG00000000252	361	419	665
ENSGMOG00000000253	867	1031	1432
ENSGMOG00000000254	1266	1394	2245
ENSGMOG00000000255	910	1093	1660
ENSGMOG00000000256	4	4	0
ENSGMOG00000000257	632	850	1143
ENSGMOG00000000258	1715	1763	2859
ENSGMOG00000000259	70	101	121
ENSGMOG00000000260	7865	8946	13324
ENSGMOG00000000261	182	166	295
ENSGMOG00000000262	851	841	1451
ENSGMOG00000000263	111	122	140
ENSGMOG00000000264	3874	4757	7099
ENSGMOG00000000265	28	19	54
ENSGMOG00000000266	8825	9923	14172
ENSGMOG00000000267	3409	3995	6425
ENSGMOG00000000268	3001	3153	4659
ENSGMOG00000000269	43	47	73
ENSGMOG00000000270	234	274	395
ENSGMOG00000000271	646	668	996
ENSGMOG00000000272	0	1	0
ENSGMOG00000000273	5045	4893	7842
ENSGMOG00000000274	967	1115	1468
ENSGMOG00000000275	25	17	72
ENSGMOG00000000276	87	84	118
ENSGMOG00000000277	971	983	1475
ENSGMOG00000000278	8870	9215	15165
ENSGMOG00000000279	9	10	18
ENSGMOG00000000280	10	16	26
ENSGMOG00000000281	7	4	17
ENSGMOG00000000282	58	75	109
ENSGMOG00000000283	0	0	0
ENSGMOG00000000284	2	0	7
ENSGMOG00000000285	290	323	466
ENSGMOG00000000286	102	107	98
ENSGMOG00000000287	5	5	19
ENSGMOG00000000288	145	177	293
ENSGMOG00000000289	73	81	141
ENSGMOG00000000290	7	4	12
ENSGMOG00000000291	3872	4682	6354
ENSGMOG00000000292	182	217	312
ENSGMOG00000000293	19	37	41
ENSGMOG00000000294	47	57	85
ENSGMOG00000000295	809	830	1369
ENSGMOG00000000296	137	137	174
ENSGMOG00000000297	419	519	665
ENSGMOG00000000298	548	627	1028
ENSGMOG00000000299	0	1	2
ENSGMOG00000000300	0	0	0
ENSGMOG00000000301	8431	10345	14176
ENSGMOG00000000302	120	128	214
ENSGMOG00000000303	653	1075	1200
ENSGMOG00000000304	1	3	5
ENSGMOG00000000305	0	0	0
ENSGMOG00000000306	1	1	0
ENSGMOG00000000307	0	0	0
ENSGMOG00000000308	1142	1583	2047
ENSGMOG00000000309	370	339	598
ENSGMOG00000000310	2146	2770	3625
ENSGMOG00000000311	0	0	1
ENSGMOG00000000312	1888	2075	3070
ENSGMOG00000000313	0	0	0
ENSGMOG00000000314	1	4	12
ENSGMOG00000000315	12	14	21
ENSGMOG00000000316	947	1197	1390
ENSGMOG00000000317	768	717	1256
ENSGMOG00000000318	2153	3551	4070
ENSGMOG00000000319	50	98	122
ENSGMOG00000000320	987	697	1685
ENSGMOG00000000321	3979	4561	6414
ENSGMOG00000000322	34	46	50
ENSGMOG00000000323	954	1175	1815
ENSGMOG00000000324	487	530	762
ENSGMOG00000000325	1400	1617	2320
ENSGMOG00000000326	23663	22284	39111
ENSGMOG00000000327	149	128	182
ENSGMOG00000000328	988	1126	1532
ENSGMOG00000000329	10	12	22
ENSGMOG00000000330	1218	1360	1941
ENSGMOG00000000331	4155	5482	7189
ENSGMOG00000000332	6	5	14
ENSGMOG00000000333	8	15	17
ENSGMOG00000000334	2	4	4
ENSGMOG00000000335	1231	1123	1966
ENSGMOG00000000336	102	74	155
ENSGMOG00000000337	549	576	945
ENSGMOG00000000338	648	622	1087
ENSGMOG00000000339	8	8	19
ENSGMOG00000000340	535	822	841
ENSGMOG00000000341	424	469	677
ENSGMOG00000000342	1395	1616	2278
ENSGMOG00000000343	5	16	19
ENSGMOG00000000344	13	2	19
ENSGMOG00000000345	3	0	0
ENSGMOG00000000346	33	43	58
ENSGMOG00000000347	680	604	1287
ENSGMOG00000000348	126	153	223
ENSGMOG00000000349	347	396	669
ENSGMOG00000000350	2293	3046	4000
ENSGMOG00000000351	12	11	19
ENSGMOG00000000352	785	814	1489
ENSGMOG00000000353	2240	2507	3928
ENSGMOG00000000354	1119	1201	1838
ENSGMOG00000000355	2779	6224	6410
ENSGMOG00000000356	313	369	568
ENSGMOG00000000357	857	950	1571
ENSGMOG00000000358	1052	1100	1728
ENSGMOG00000000359	65	63	79
ENSGMOG00000000360	1622	1386	2565
ENSGMOG00000000361	19	11	15
ENSGMOG00000000362	1006	1191	1706
ENSGMOG00000000363	5021	5800	8010
ENSGMOG00000000364	472	729	954
ENSGMOG00000000365	837	1053	1177
ENSGMOG00000000366	728	788	1184
ENSGMOG00000000367	6	0	4
ENSGMOG00000000368	599	624	913
ENSGMOG00000000369	942	949	1636
ENSGMOG00000000370	90	104	169
ENSGMOG00000000371	27	51	72
ENSGMOG00000000372	314	405	591
ENSGMOG00000000373	4	8	7
ENSGMOG00000000374	1221	1546	2040
ENSGMOG00000000375	135	91	295
ENSGMOG00000000376	40	53	75
ENSGMOG00000000377	1148	1196	1711
ENSGMOG00000000378	1	4	6
ENSGMOG00000000379	1	7	14
ENSGMOG00000000380	162	192	266
ENSGMOG00000000381	1778	2541	2825
ENSGMOG00000000382	186	224	343
ENSGMOG00000000383	294	298	532
ENSGMOG00000000384	143	134	256
ENSGMOG00000000385	181	167	296
ENSGMOG00000000386	45	58	92
ENSGMOG00000000387	50	59	84
ENSGMOG00000000388	7	3	13
ENSGMOG00000000389	1945	2365	3050
ENSGMOG00000000390	6	81	135
ENSGMOG00000000391	4207	4632	7239
ENSGMOG00000000392	3281	3862	5920
ENSGMOG00000000393	32	27	65
ENSGMOG00000000394	1202	1229	2055
ENSGMOG00000000395	1725	1975	2888
ENSGMOG00000000396	283	295	484
ENSGMOG00000000397	1284	1288	2507
ENSGMOG00000000398	3	10	11
ENSGMOG00000000399	221	172	253
ENSGMOG00000000400	3151	3830	5121
ENSGMOG00000000401	124	104	155
ENSGMOG00000000402	1480	1932	1881
ENSGMOG00000000403	1	0	0
ENSGMOG00000000404	167	278	320
ENSGMOG00000000405	2107	2271	3486
