ID	sample_10	sample_11	sample_12
ENSGMOG00000000238	852	1050	612
ENSGMOG00000000239	817	998	564
ENSGMOG00000000240	2670	3319	1797
ENSGMOG00000000241	1479	1679	880
ENSGMOG00000000242	1695	2031	1241
ENSGMOG00000000243	19400	22654	12364
ENSGMOG00000000244	1689	1844	1056
ENSGMOG00000000245	213	253	106
ENSGMOG00000000246	8337	8475	4716
ENSGMOG00000000247	1937	2229	1252
ENSGMOG00000000248	5340	5696	3257
ENSGMOG00000000249	2758	3509	2229
ENSGMOG00000000250	10068	10843	6096
ENSGMOG00000000251	7297	8214	5270
ENSGMOG00000000252	526	500	279
ENSGMOG00000000253	1157	1316	864
ENSGMOG00000000254	1243	1665	977
ENSGMOG00000000255	1233	1433	824
ENSGMOG00000000256	2	2	0
ENSGMOG00000000257	870	943	621
ENSGMOG00000000258	2239	2829	1713
ENSGMOG00000000259	165	172	64
ENSGMOG00000000260	9724	11263	7128
ENSGMOG00000000261	234	256	157
ENSGMOG00000000262	1197	1412	939
ENSGMOG00000000263	12	13	3
ENSGMOG00000000264	3439	4333	2858
ENSGMOG00000000265	67	72	29
ENSGMOG00000000266	15684	18493	10762
ENSGMOG00000000267	5978	7192	3408
ENSGMOG00000000268	3415	4266	2478
ENSGMOG00000000269	124	167	64
ENSGMOG00000000270	341	430	237
ENSGMOG00000000271	1147	1221	673
ENSGMOG00000000272	2	9	5
ENSGMOG00000000273	11165	12782	8440
ENSGMOG00000000274	2027	2106	1445
ENSGMOG00000000275	33	84	32
ENSGMOG00000000276	55	86	68
ENSGMOG00000000277	1530	1919	1018
ENSGMOG00000000278	7306	8911	5698
ENSGMOG00000000279	39	30	21
ENSGMOG00000000280	63	55	41
ENSGMOG00000000281	11	6	5
ENSGMOG00000000282	47	54	25
ENSGMOG00000000283	0	0	0
ENSGMOG00000000284	5	10	0
ENSGMOG00000000285	485	397	275
ENSGMOG00000000286	327	358	237
ENSGMOG00000000287	17	12	12
ENSGMOG00000000288	205	299	154
ENSGMOG00000000289	112	145	85
ENSGMOG00000000290	2	15	8
ENSGMOG00000000291	4740	5587	3456
ENSGMOG00000000292	257	285	208
ENSGMOG00000000293	94	115	51
ENSGMOG00000000294	53	72	46
ENSGMOG00000000295	1109	1243	855
ENSGMOG00000000296	162	239	122
ENSGMOG00000000297	580	663	395
ENSGMOG00000000298	818	913	520
ENSGMOG00000000299	5	2	6
ENSGMOG00000000300	0	4	0
ENSGMOG00000000301	10400	11619	7203
ENSGMOG00000000302	147	185	91
ENSGMOG00000000303	437	386	339
ENSGMOG00000000304	15	12	3
ENSGMOG00000000305	0	0	0
ENSGMOG00000000306	0	0	2
ENSGMOG00000000307	0	0	0
ENSGMOG00000000308	2110	2115	1291
ENSGMOG00000000309	502	698	361
ENSGMOG00000000310	3813	3878	2502
ENSGMOG00000000311	0	0	0
ENSGMOG00000000312	3119	3906	1981
ENSGMOG00000000313	0	2	4
ENSGMOG00000000314	0	0	1
ENSGMOG00000000315	92	55	55
ENSGMOG00000000316	1633	1828	932
ENSGMOG00000000317	1038	1261	686
ENSGMOG00000000318	390957	376531	244484
ENSGMOG00000000319	34	21	22
ENSGMOG00000000320	1089	1595	885
ENSGMOG00000000321	4624	5524	3239
ENSGMOG00000000322	443	449	288
ENSGMOG00000000323	1857	1930	1088
ENSGMOG00000000324	602	718	405
ENSGMOG00000000325	2056	2466	1422
ENSGMOG00000000326	23465	29838	17747
ENSGMOG00000000327	263	284	203
ENSGMOG00000000328	1578	1748	1013
ENSGMOG00000000329	12	17	6
ENSGMOG00000000330	2277	2566	1400
ENSGMOG00000000331	4162	4976	2786
ENSGMOG00000000332	15	12	6
ENSGMOG00000000333	68	41	32
ENSGMOG00000000334	5	0	2
ENSGMOG00000000335	1677	1916	1126
ENSGMOG00000000336	174	214	111
ENSGMOG00000000337	823	933	541
ENSGMOG00000000338	982	1148	623
ENSGMOG00000000339	10	17	8
ENSGMOG00000000340	574	593	366
ENSGMOG00000000341	461	512	346
ENSGMOG00000000342	2606	2928	1637
ENSGMOG00000000343	5	11	10
ENSGMOG00000000344	25	18	20
ENSGMOG00000000345	4	6	0
ENSGMOG00000000346	57	46	35
ENSGMOG00000000347	997	1391	726
ENSGMOG00000000348	240	260	171
ENSGMOG00000000349	993	1197	822
ENSGMOG00000000350	2529	2589	1528
ENSGMOG00000000351	19	27	13
ENSGMOG00000000352	1090	1329	796
ENSGMOG00000000353	2979	3698	1839
ENSGMOG00000000354	1676	2183	1149
ENSGMOG00000000355	3440	2643	1966
ENSGMOG00000000356	273	307	223
ENSGMOG00000000357	6823	7693	4693
ENSGMOG00000000358	3879	4513	2825
ENSGMOG00000000359	83	88	47
ENSGMOG00000000360	2497	2712	1875
ENSGMOG00000000361	13	14	4
ENSGMOG00000000362	1492	1674	986
ENSGMOG00000000363	7562	8531	4813
ENSGMOG00000000364	482	470	314
ENSGMOG00000000365	12032	11083	10021
ENSGMOG00000000366	1388	1679	896
ENSGMOG00000000367	4	0	0
ENSGMOG00000000368	1493	1765	1053
ENSGMOG00000000369	1175	1464	904
ENSGMOG00000000370	182	191	96
ENSGMOG00000000371	30	36	12
ENSGMOG00000000372	26728	27441	17589
ENSGMOG00000000373	2	2	4
ENSGMOG00000000374	2303	2773	1514
ENSGMOG00000000375	179	244	122
ENSGMOG00000000376	69	64	14
ENSGMOG00000000377	2744	4282	2292
ENSGMOG00000000378	9	5	7
ENSGMOG00000000379	5	2	1
ENSGMOG00000000380	1419	1646	1114
ENSGMOG00000000381	2464	2818	1700
ENSGMOG00000000382	722	673	468
ENSGMOG00000000383	418	545	251
ENSGMOG00000000384	441	610	283
ENSGMOG00000000385	180	252	103
ENSGMOG00000000386	42	66	38
ENSGMOG00000000387	40	24	13
ENSGMOG00000000388	0	4	2
ENSGMOG00000000389	2789	3294	1714
ENSGMOG00000000390	322	257	143
ENSGMOG00000000391	5851	7014	4375
ENSGMOG00000000392	2342	2842	1884
ENSGMOG00000000393	40	38	21
ENSGMOG00000000394	1955	2272	1337
ENSGMOG00000000395	13548	15665	10552
ENSGMOG00000000396	364	490	321
ENSGMOG00000000397	1664	2233	1334
ENSGMOG00000000398	2	3	1
ENSGMOG00000000399	424	558	287
ENSGMOG00000000400	3436	4224	2429
ENSGMOG00000000401	79	72	56
ENSGMOG00000000402	3040	3616	1836
ENSGMOG00000000403	2	0	2
ENSGMOG00000000404	406	348	307
ENSGMOG00000000405	2750	3327	1924
ENSGMOG00000000406	5562	5877	3529
ENSGMOG00000000407	20590	23103	13731
ENSGMOG00000000408	1150	1432	850
ENSGMOG00000000409	68	63	39
