ID	sample_16	sample_17	sample_18
ENSGMOG00000000341	402	361	341
ENSGMOG00000000342	1546	1564	1161
ENSGMOG00000000343	9	9	7
ENSGMOG00000000344	28	12	7
ENSGMOG00000000345	1	0	0
ENSGMOG00000000346	36	27	36
ENSGMOG00000000347	884	513	657
ENSGMOG00000000348	153	120	123
ENSGMOG00000000349	647	510	522
ENSGMOG00000000350	2365	2305	1743
ENSGMOG00000000351	11	7	13
ENSGMOG00000000352	912	769	636
ENSGMOG00000000353	2817	2587	1977
ENSGMOG00000000354	1423	1258	874
ENSGMOG00000000355	3441	3095	2327
ENSGMOG00000000356	344	377	257
ENSGMOG00000000357	4173	3455	2852
ENSGMOG00000000358	2191	1740	1714
ENSGMOG00000000359	78	91	50
ENSGMOG00000000360	1658	1540	1295
ENSGMOG00000000361	7	6	10
ENSGMOG00000000362	1319	1340	946
ENSGMOG00000000363	6053	5735	4635
ENSGMOG00000000364	440	497	347
ENSGMOG00000000365	9289	6187	5616
ENSGMOG00000000366	1129	996	738
ENSGMOG00000000367	0	0	0
ENSGMOG00000000368	942	770	727
ENSGMOG00000000369	1016	892	720
ENSGMOG00000000370	151	151	79
ENSGMOG00000000371	19	24	19
ENSGMOG00000000372	10438	9170	7992
ENSGMOG00000000373	3	5	1
ENSGMOG00000000374	1477	1544	1066
ENSGMOG00000000375	232	124	119
ENSGMOG00000000376	38	28	25
ENSGMOG00000000377	2103	1914	1733
ENSGMOG00000000378	5	4	4
ENSGMOG00000000379	3	5	1
ENSGMOG00000000380	505	496	357
ENSGMOG00000000381	2003	2272	1456
ENSGMOG00000000382	512	407	346
ENSGMOG00000000383	333	247	231
ENSGMOG00000000384	249	265	190
ENSGMOG00000000385	208	160	129
ENSGMOG00000000386	31	36	23
ENSGMOG00000000387	34	40	37
ENSGMOG00000000388	7	1	6
ENSGMOG00000000389	2207	2319	1658
ENSGMOG00000000390	27	14	92
ENSGMOG00000000391	5562	4817	3788
ENSGMOG00000000392	3074	2587	2589
ENSGMOG00000000393	61	54	15
ENSGMOG00000000394	1543	1396	1135
ENSGMOG00000000395	7981	5715	5590
ENSGMOG00000000396	316	296	199
ENSGMOG00000000397	1560	1168	1188
ENSGMOG00000000398	7	4	5
ENSGMOG00000000399	219	160	136
ENSGMOG00000000400	3625	3056	2273
ENSGMOG00000000401	106	115	69
ENSGMOG00000000402	2554	1533	1330
ENSGMOG00000000403	1	0	1
ENSGMOG00000000404	392	329	240
ENSGMOG00000000405	2606	2211	1883
ENSGMOG00000000406	4208	4030	2897
ENSGMOG00000000407	18344	18821	12813
ENSGMOG00000000408	973	787	584
ENSGMOG00000000409	39	19	20
ENSGMOG00000000410	13	6	15
ENSGMOG00000000411	17	4	9
ENSGMOG00000000412	409	394	284
ENSGMOG00000000413	2253	2323	1863
ENSGMOG00000000414	1501	1474	932
ENSGMOG00000000415	18	29	19
ENSGMOG00000000416	14770	15489	10826
ENSGMOG00000000417	861	743	495
ENSGMOG00000000418	21	7	9
ENSGMOG00000000419	17	11	14
ENSGMOG00000000420	295	286	246
ENSGMOG00000000421	5032	5830	3265
ENSGMOG00000000422	2865	2588	2004
ENSGMOG00000000423	1	0	3
ENSGMOG00000000424	1891	1630	1412
ENSGMOG00000000425	39	50	21
ENSGMOG00000000426	81	62	67
ENSGMOG00000000427	2348	1959	1616
ENSGMOG00000000428	3	15	6
ENSGMOG00000000429	2715	2338	1875
ENSGMOG00000000430	85	48	44
ENSGMOG00000000431	2	2	4
ENSGMOG00000000432	411	408	246
ENSGMOG00000000433	228	173	146
ENSGMOG00000000434	6692	5506	5065
ENSGMOG00000000435	31	34	26
ENSGMOG00000000436	1477	1715	1146
ENSGMOG00000000437	4008	3205	2577
ENSGMOG00000000438	513	589	387
ENSGMOG00000000439	2278	2121	1660
ENSGMOG00000000440	1212	1321	988
ENSGMOG00000000441	31	20	24
ENSGMOG00000000442	15	8	9
ENSGMOG00000000443	198	149	114
ENSGMOG00000000444	702	557	469
ENSGMOG00000000445	186	103	99
ENSGMOG00000000446	6464	5306	4550
ENSGMOG00000000447	10	4	13
ENSGMOG00000000448	32	16	23
ENSGMOG00000000449	1525	1435	980
ENSGMOG00000000450	3	7	7
ENSGMOG00000000451	134	137	129
